year,provinces_code,provinces_th,provinces_en,region_en,region_th,Standing_area_rai,Fruitful_area_rai,Productivity_tons,Productivity_per_rai_kg
2526,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,7773,3727,3257,874
2527,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,8136,4227,3694,874
2528,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,8409,1727,1988,1151
2529,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,8455,8136,1367,168
2530,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,8868,8409,1219,145
2531,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,11844,8455,1640,194
2532,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,12363,8535,1613,189
2533,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,12713,11511,5974,519
2534,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,16291,12363,5254,425
2535,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,18365,12713,6458,508
2536,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,20138,16291,10003,614
2537,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,22613,18365,13443,732
2538,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,24096,20138,12546,623
2539,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,26611,22613,16578,733
2540,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,34152,24096,22916,951
2541,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,50172,26611,2584,97
2542,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,58082,34152,15334,449
2543,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,66904,50172,50624,1009
2544,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,79021,56832,27791,489
2545,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,80164,51739,36528,706
2546,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,106425,63856,26245,411
2547,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,123242,76270,57126,749
2548,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,134382,102693,74332,724
2549,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,141922,116481,50320,432
2550,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,138258,125045,45930,367
2551,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,152896,117587,40646,346
2552,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,155166,121506,51386,423
2553,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,160067,149478,46609,312
2554,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,168910,151371,52956,350
2555,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,174422,156068,61731,396
2556,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,189337,165264,73063,442
2557,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,199687,171602,108040,630
2558,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,211724,187343,96503,515
2559,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,223159,198703,65682,331
2560,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,217201,198315,93523,472
2561,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,221375,207831,101386,488
2562,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,239711,213316,90015,422
2563,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,246135,219137,95428,435
2564,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,245853,236239,108598,460
2565,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,245311,242598,109796,453
2566,10,เชียงราย,Chiang Rai,Northern,ภาคเหนือ,238128,238074,85264,358
2526,20,พะเยา,Phayao,Northern,ภาคเหนือ,1357,1050,393,374
2527,20,พะเยา,Phayao,Northern,ภาคเหนือ,1996,1150,837,728
2528,20,พะเยา,Phayao,Northern,ภาคเหนือ,2641,1357,556,410
2529,20,พะเยา,Phayao,Northern,ภาคเหนือ,3138,1996,2128,1066
2530,20,พะเยา,Phayao,Northern,ภาคเหนือ,3740,2641,1035,392
2531,20,พะเยา,Phayao,Northern,ภาคเหนือ,4314,3138,3119,994
2532,20,พะเยา,Phayao,Northern,ภาคเหนือ,5017,3740,2177,582
2533,20,พะเยา,Phayao,Northern,ภาคเหนือ,5643,4314,5884,1364
2534,20,พะเยา,Phayao,Northern,ภาคเหนือ,6277,5017,2845,567
2535,20,พะเยา,Phayao,Northern,ภาคเหนือ,6931,5643,6749,1196
2536,20,พะเยา,Phayao,Northern,ภาคเหนือ,7575,6277,3578,570
2537,20,พะเยา,Phayao,Northern,ภาคเหนือ,8373,6931,7236,1044
2538,20,พะเยา,Phayao,Northern,ภาคเหนือ,9094,7575,4871,643
2539,20,พะเยา,Phayao,Northern,ภาคเหนือ,9600,8373,8551,1021
2540,20,พะเยา,Phayao,Northern,ภาคเหนือ,13673,9094,10497,1154
2541,20,พะเยา,Phayao,Northern,ภาคเหนือ,16790,9600,889,93
2542,20,พะเยา,Phayao,Northern,ภาคเหนือ,22108,13673,6016,440
2543,20,พะเยา,Phayao,Northern,ภาคเหนือ,24471,16790,17143,1021
2544,20,พะเยา,Phayao,Northern,ภาคเหนือ,31950,20853,10155,487
